chrom	start	end	cov1	cov2	cov3	d1	d2	d3	dcov1	dcov2	dcov3	SNPS	S-MATCH0	S-MATCH1	S-MATCH2	S-MATCH3	S-MULTIALLELIC	S-NUCMER	S-DISCO	S-HAPLO	S-NUCMER,DISCO	S-NUCMER,HAPLO	S-DISCO,HAPLO	S-NUCMER,DISCO,HAPLO	S-	INDELS	I-MATCH0	I-MATCH1	I-MATCH2	I-MATCH3	I-MULTIALLELIC	I-NUCMER	I-DISCO	I-HAPLO	I-NUCMER,DISCO	I-NUCMER,HAPLO	I-DISCO,HAPLO	I-NUCMER,DISCO,HAPLO	I-
Pf3D7_07_v3	450000	455000	4973	0	4974	95.1432	0.0	98.0738	95.6442791072	0.0	98.5747889023 	19 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	5 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	455000	460000	5000	0	5000	97.8354	0.0	101.472	97.8354	0.0	101.472 	20 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	4 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	460000	465000	5000	0	5000	103.784	0.0	101.0778	103.784	0.0	101.0778 	24 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	7 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	465000	470000	5000	0	4913	99.8428	0.0	96.2542	99.8428	0.0	97.953388968 	59 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	11 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	470000	475000	5000	56	4999	102.1538	0.1228	100.6218	102.1538	10.1607142857	100.641928386 	25 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	11 	0.0 	0.909090909091 	0.0909090909091 	0.0 	0.0 	0.909090909091 	0.0 	0.0 	0.0 	0.0909090909091 	0.0 	0.0 	0.0 
Pf3D7_07_v3	475000	480000	5000	4976	4999	101.2912	93.0838	102.367	101.2912	93.5319533762	102.387277455 	16 	0.0 	0.0625 	0.1875 	0.75 	0.0 	0.0 	0.0625 	0.0 	0.0 	0.1875 	0.0 	0.75 	0.0 	14 	0.0 	0.357142857143 	0.0 	0.642857142857 	0.0 	0.142857142857 	0.0714285714286 	0.142857142857 	0.0 	0.0 	0.0 	0.642857142857 	0.0 
Pf3D7_07_v3	480000	485000	5000	4992	4685	103.0044	98.7804	92.5212	103.0044	98.9336939103	98.7325506937 	17 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	7 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 
Pf3D7_07_v3	485000	490000	5000	5000	5000	96.1996	97.2434	103.4828	96.1996	97.2434	103.4828 	7 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	3 	0.0 	0.0 	0.0 	0.666666666667 	0.333333333333 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 
Pf3D7_07_v3	490000	495000	5000	5000	5000	101.3036	99.8166	103.5402	101.3036	99.8166	103.5402 	20 	0.0 	0.1 	0.0 	0.9 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.9 	0.0 	9 	0.0 	0.333333333333 	0.0 	0.333333333333 	0.333333333333 	0.111111111111 	0.222222222222 	0.222222222222 	0.0 	0.0 	0.0 	0.444444444444 	0.0 
Pf3D7_07_v3	495000	500000	5000	5000	5000	98.7796	97.9204	103.991	98.7796	97.9204	103.991 	27 	0.0 	0.0740740740741 	0.037037037037 	0.888888888889 	0.0 	0.0 	0.0740740740741 	0.0 	0.0 	0.037037037037 	0.0 	0.888888888889 	0.0 	8 	0.0 	0.125 	0.0 	0.625 	0.25 	0.0 	0.25 	0.0 	0.0 	0.0 	0.0 	0.75 	0.0 
Pf3D7_07_v3	500000	505000	5000	5000	5000	97.5228	102.0376	101.9656	97.5228	102.0376	101.9656 	21 	0.0 	0.142857142857 	0.0952380952381 	0.761904761905 	0.0 	0.0 	0.142857142857 	0.0 	0.0 	0.0952380952381 	0.0 	0.761904761905 	0.0 	4 	0.0 	0.0 	0.0 	0.5 	0.5 	0.0 	0.5 	0.0 	0.0 	0.0 	0.0 	0.5 	0.0 
Pf3D7_07_v3	505000	510000	5000	4997	5000	101.3554	91.8834	98.6634	101.3554	91.9363618171	98.6634 	25 	0.04 	0.0 	0.08 	0.88 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.08 	0.88 	0.04 	6 	0.0 	0.0 	0.0 	0.666666666667 	0.333333333333 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 
Pf3D7_07_v3	510000	515000	5000	1821	1708	101.2618	19.6642	19.1014	101.2618	53.8083470621	55.2019906323 	51 	0.0 	0.666666666667 	0.078431372549 	0.254901960784 	0.0 	0.647058823529 	0.0196078431373 	0.0 	0.0196078431373 	0.0196078431373 	0.0392156862745 	0.254901960784 	0.0 	23 	0.0 	0.608695652174 	0.0434782608696 	0.0869565217391 	0.260869565217 	0.608695652174 	0.0869565217391 	0.0434782608696 	0.0434782608696 	0.0 	0.0869565217391 	0.130434782609 	0.0 
Pf3D7_07_v3	515000	520000	5000	143	416	105.9754	0.3138	1.5398	105.9754	10.0	17.5600961538 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	520000	525000	5000	0	1880	104.8602	0.0	9.4518	104.8602	0.0	25.0718085106 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	525000	530000	5000	472	234	101.188	2.475	1.1294	101.188	24.2860169492	17.3888888889 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	530000	535000	5000	488	480	95.1446	3.5608	3.165	95.1446	35.6290983607	32.6625 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	535000	540000	5000	0	275	107.6716	0.0	0.8556	107.6716	0.0	14.7054545455 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	540000	545000	5000	330	0	99.6006	1.4108	0.0924	99.6006	21.0939393939	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	545000	550000	5000	261	408	97.9932	1.3206	1.6822	97.9932	24.0076628352	19.6446078431 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	550000	555000	5000	2415	1480	102.9302	15.5796	9.222	102.9302	31.8923395445	30.4013513514 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	555000	560000	5000	906	44	101.971	16.637	0.1858	101.971	91.2306843267	19.7272727273 	5 	0.0 	0.0 	0.4 	0.6 	0.0 	0.0 	0.0 	0.0 	0.0 	0.4 	0.0 	0.6 	0.0 	1 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	560000	565000	5000	4892	0	103.8862	95.779	0.0	103.8862	97.880212592	0.0 	35 	0.0 	0.2 	0.171428571429 	0.628571428571 	0.0 	0.171428571429 	0.0285714285714 	0.0 	0.0 	0.0857142857143 	0.0857142857143 	0.628571428571 	0.0 	13 	0.0 	0.153846153846 	0.153846153846 	0.307692307692 	0.384615384615 	0.153846153846 	0.0 	0.0 	0.0 	0.153846153846 	0.153846153846 	0.538461538462 	0.0 
Pf3D7_07_v3	565000	570000	5000	1801	345	99.7488	15.9424	2.177	99.7488	43.411993337	30.2173913043 	44 	0.0 	0.818181818182 	0.181818181818 	0.0 	0.0 	0.818181818182 	0.0 	0.0 	0.0 	0.181818181818 	0.0 	0.0 	0.0 	9 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	570000	575000	5000	796	782	100.5128	8.8646	6.5106	100.5128	55.2688442211	40.942455243 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	575000	580000	5000	294	1972	95.6112	1.238	6.3216	95.6112	20.7789115646	15.4127789047 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	580000	585000	5000	1894	2015	103.1126	23.2056	22.3104	103.1126	60.9672650475	55.0491315136 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	585000	590000	5000	886	53	97.7224	4.8032	0.1514	97.7224	26.7358916479	14.2830188679 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	590000	595000	5000	939	1078	99.086	4.4948	4.1438	99.086	22.9723109691	18.8571428571 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	595000	600000	5000	2271	2277	101.4118	47.8704	41.4616	101.4118	105.303830911	90.938954765 	40 	0.0 	0.6 	0.4 	0.0 	0.0 	0.0 	0.075 	0.525 	0.0 	0.0 	0.4 	0.0 	0.0 	2 	0.0 	0.5 	0.0 	0.0 	0.5 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	600000	605000	5000	4888	4887	97.3426	92.5342	95.3548	97.3426	94.6518003273	97.5547370575 	127 	0.0 	0.11811023622 	0.834645669291 	0.0472440944882 	0.0 	0.00787401574803 	0.0944881889764 	0.0157480314961 	0.0 	0.0 	0.834645669291 	0.0472440944882 	0.0 	16 	0.0 	0.4375 	0.375 	0.0 	0.1875 	0.0 	0.25 	0.3125 	0.0 	0.0 	0.375 	0.0625 	0.0 
Pf3D7_07_v3	605000	610000	5000	4996	4995	94.6506	101.5154	107.3538	94.6506	101.596677342	107.46006006 	85 	0.0 	0.176470588235 	0.0941176470588 	0.729411764706 	0.0 	0.0117647058824 	0.141176470588 	0.0235294117647 	0.0588235294118 	0.0235294117647 	0.0117647058824 	0.729411764706 	0.0 	22 	0.0 	0.272727272727 	0.0909090909091 	0.227272727273 	0.409090909091 	0.0 	0.136363636364 	0.272727272727 	0.136363636364 	0.136363636364 	0.0 	0.318181818182 	0.0 
Pf3D7_07_v3	610000	615000	5000	4992	4996	98.809	100.7174	106.8118	98.809	100.874198718	106.895716573 	30 	0.0 	0.133333333333 	0.0666666666667 	0.8 	0.0 	0.0666666666667 	0.0666666666667 	0.0 	0.0 	0.0333333333333 	0.0333333333333 	0.8 	0.0 	13 	0.0 	0.384615384615 	0.0 	0.461538461538 	0.153846153846 	0.230769230769 	0.0769230769231 	0.153846153846 	0.0 	0.0769230769231 	0.0 	0.461538461538 	0.0 
Pf3D7_07_v3	615000	620000	5000	5000	5000	98.413	94.1608	103.5068	98.413	94.1608	103.5068 	17 	0.0 	0.0588235294118 	0.117647058824 	0.823529411765 	0.0 	0.0 	0.0588235294118 	0.0 	0.0 	0.0588235294118 	0.0588235294118 	0.823529411765 	0.0 	5 	0.0 	0.0 	0.0 	0.6 	0.4 	0.0 	0.2 	0.0 	0.0 	0.0 	0.0 	0.8 	0.0 
Pf3D7_07_v3	620000	625000	5000	5000	5000	99.235	101.6822	101.7468	99.235	101.6822	101.7468 	16 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	2 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 
Pf3D7_07_v3	625000	630000	5000	5000	5000	101.2324	95.6298	101.9248	101.2324	95.6298	101.9248 	30 	0.0 	0.4 	0.166666666667 	0.433333333333 	0.0 	0.0 	0.4 	0.0 	0.0666666666667 	0.1 	0.0 	0.433333333333 	0.0 	10 	0.0 	0.4 	0.0 	0.3 	0.3 	0.5 	0.1 	0.0 	0.0 	0.0 	0.0 	0.4 	0.0 
Pf3D7_07_v3	630000	635000	5000	5000	5000	95.9804	96.4872	97.0358	95.9804	96.4872	97.0358 	15 	0.0 	0.333333333333 	0.0 	0.666666666667 	0.0 	0.0666666666667 	0.2 	0.0666666666667 	0.0 	0.0 	0.0 	0.666666666667 	0.0 	8 	0.0 	0.5 	0.25 	0.0 	0.25 	0.25 	0.375 	0.125 	0.0 	0.25 	0.0 	0.0 	0.0 
Pf3D7_07_v3	635000	640000	5000	4996	4996	102.8842	98.8938	99.9152	102.8842	98.9709767814	99.9923939151 	12 	0.0 	0.0 	0.0833333333333 	0.916666666667 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0833333333333 	0.916666666667 	0.0 	7 	0.0 	0.0 	0.0 	0.857142857143 	0.142857142857 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 
Pf3D7_07_v3	640000	645000	5000	5000	5000	102.4082	100.9916	103.3756	102.4082	100.9916	103.3756 	7 	0.0 	0.285714285714 	0.142857142857 	0.571428571429 	0.0 	0.0 	0.285714285714 	0.0 	0.0 	0.142857142857 	0.0 	0.571428571429 	0.0 	8 	0.0 	0.0 	0.0 	0.875 	0.125 	0.0 	0.125 	0.0 	0.0 	0.0 	0.0 	0.875 	0.0 
Pf3D7_07_v3	645000	650000	5000	5000	5000	98.9438	98.4224	101.9658	98.9438	98.4224	101.9658 	17 	0.0 	0.235294117647 	0.0588235294118 	0.705882352941 	0.0 	0.0 	0.235294117647 	0.0 	0.0 	0.0 	0.0588235294118 	0.705882352941 	0.0 	6 	0.0 	0.166666666667 	0.0 	0.666666666667 	0.166666666667 	0.0 	0.166666666667 	0.0 	0.0 	0.0 	0.0 	0.833333333333 	0.0 
Pf3D7_07_v3	650000	655000	5000	5000	5000	98.5726	96.3366	98.103	98.5726	96.3366	98.103 	14 	0.0 	0.142857142857 	0.0 	0.857142857143 	0.0 	0.0 	0.142857142857 	0.0 	0.0 	0.0 	0.0 	0.857142857143 	0.0 	4 	0.0 	0.25 	0.25 	0.25 	0.25 	0.0 	0.5 	0.0 	0.0 	0.25 	0.0 	0.25 	0.0 
Pf3D7_07_v3	655000	660000	5000	5000	4902	96.581	99.1092	97.519	96.581	99.1092	99.4636882905 	11 	0.0 	0.454545454545 	0.0 	0.545454545455 	0.0 	0.0 	0.454545454545 	0.0 	0.0 	0.0 	0.0 	0.545454545455 	0.0 	7 	0.142857142857 	0.571428571429 	0.0 	0.285714285714 	0.0 	0.571428571429 	0.0 	0.0 	0.0 	0.0 	0.0 	0.285714285714 	0.142857142857 
Pf3D7_07_v3	660000	665000	5000	4992	4992	102.0862	100.6414	100.4616	102.0862	100.801682692	100.620592949 	20 	0.35 	0.4 	0.05 	0.2 	0.0 	0.0 	0.4 	0.0 	0.0 	0.0 	0.05 	0.2 	0.35 	11 	0.0 	0.545454545455 	0.181818181818 	0.181818181818 	0.0909090909091 	0.272727272727 	0.272727272727 	0.0909090909091 	0.0 	0.181818181818 	0.0 	0.181818181818 	0.0 
Pf3D7_07_v3	665000	670000	5000	5000	5000	97.515	104.743	99.6452	97.515	104.743	99.6452 	16 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	4 	0.0 	0.0 	0.0 	0.75 	0.25 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 
Pf3D7_07_v3	670000	675000	5000	4995	4996	103.2566	96.4238	94.349	103.2566	96.5179179179	94.4245396317 	9 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	6 	0.0 	0.0 	0.0 	0.833333333333 	0.166666666667 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	0.0 
Pf3D7_07_v3	675000	680000	5000	5000	5000	95.8138	104.637	96.4958	95.8138	104.637	96.4958 	19 	0.0 	0.368421052632 	0.105263157895 	0.526315789474 	0.0 	0.263157894737 	0.105263157895 	0.0 	0.105263157895 	0.0 	0.0 	0.526315789474 	0.0 	7 	0.0 	0.142857142857 	0.0 	0.571428571429 	0.285714285714 	0.142857142857 	0.285714285714 	0.0 	0.0 	0.0 	0.0 	0.571428571429 	0.0 
