chr	pos	vartype	varlen	vcomplex	STRtype	INDtype	DUST	STRP	STRE	alleles	call_rate	nuc_div	Cl1Incons	Cl2Incons	Cl3Incons	coding	consequence	DD2FDKMAF
Pf3D7_01_v3	802	SNP	1	0	STR		0	42	4.07	2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	807	SNP	1	0	STR		0	42	4.07	2	0.5	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17127	SNP	1	0			0			2	0.333	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17129	SNP	1	0			0			2	0.333	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17132	SNP	1	0			0			2	0.333	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17219	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17223	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17225	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17227	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17228	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17229	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	17235	SNP	1	0			0			2	0.444	-1.0	1	0	0	intergenic		-1
Pf3D7_01_v3	98517	SNP	1	0	polyA		0	5	3.4	4	0.889	-1.0	0	1	0	intergenic		-1
Pf3D7_01_v3	98868	SNP	1	0			0			3	0.944	-1.0	1	0	0	coding	missense_variant	-1
Pf3D7_01_v3	101992	SNP	1	0	STR		0	81	2.02	2	0.889	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	101996	SNP	1	0	STR		0	81	2.02	2	0.889	-1.0	0	0	1	coding	missense_variant	-1
Pf3D7_01_v3	102005	SNP	1	0	STR		0	81	2.02	2	0.889	-1.0	0	0	1	coding	missense_variant	-1
